task_id,system,model_id,seed,n_calls,in_tok,fresh_tok,out_tok
F01_multi_mode_velocity,deepseek_omicverse,deepseek-v4-pro,0,18,946403,136599,8345
A04_pca_neighbors_umap,deepseek_omicverse,deepseek-v4-pro,2,3,51522,42326,993
E07_ppi_network,deepseek_omicverse,deepseek-v4-pro,1,23,423541,31997,11979
G03_16s_ordination_pcoa,deepseek_omicverse,deepseek-v4-pro,1,15,201369,22961,6113
L04_foundation_model_perturbation_response,deepseek_omicverse,deepseek-v4-pro,1,65,1594931,50834,24873
B08_aucell_pathway_scoring,deepseek_omicverse,deepseek-v4-pro,2,10,83542,12606,2724
E07_ppi_network,deepseek_omicverse,deepseek-v4-flash,1,21,404868,33095,10017
G05_phylogenetic_diversity,deepseek_omicverse,deepseek-v4-flash,2,22,409853,38808,12162
C01_visium_spatial_domain,deepseek_omicverse,deepseek-v4-pro,2,30,938171,55332,11086
A02_normalize_log,deepseek_omicverse,deepseek-v4-flash,1,3,11868,4562,992
B10_gene_regulatory_network,deepseek_omicverse,deepseek-v4-flash,2,17,1330555,123570,10938
A01_qc_filter,deepseek_omicverse,deepseek-v4-pro,1,21,531777,40304,13132
A02_normalize_log,deepseek_omicverse,deepseek-v4-flash,0,3,12058,4670,1001
E04_bulk_wgcna,deepseek_omicverse,deepseek-v4-flash,1,31,1787439,108117,30058
A05_leiden_clustering,deepseek_omicverse,deepseek-v4-flash,0,6,31770,7047,2828
F04_multi_backend_pseudotime,deepseek_omicverse,deepseek-v4-flash,0,6,99488,25091,2603
E03_bulk_de_multi_method,deepseek_omicverse,deepseek-v4-pro,2,13,192805,24031,8120
E01_bulk_deconvolution,deepseek_omicverse,deepseek-v4-flash,2,12,212521,37888,4799
F01_multi_mode_velocity,deepseek_omicverse,deepseek-v4-flash,2,16,221426,20787,6912
A03_hvg,deepseek_omicverse,deepseek-v4-flash,0,3,11752,4416,773
E06_pathway_enrichment,deepseek_omicverse,deepseek-v4-flash,2,18,458232,38741,7500
E01_bulk_deconvolution,deepseek_omicverse,deepseek-v4-pro,0,18,604155,64478,8932
L02_foundation_model_celltype_annotation,deepseek_omicverse,deepseek-v4-flash,2,10,105521,18239,1917
E06_pathway_enrichment,deepseek_omicverse,deepseek-v4-pro,0,16,276509,28666,8523
B05_multi_method_annotation,deepseek_omicverse,deepseek-v4-pro,1,42,1967108,83038,20862
B02_subset_recluster,deepseek_omicverse,deepseek-v4-pro,1,5,23124,5758,1521
F04_multi_backend_pseudotime,deepseek_omicverse,deepseek-v4-flash,2,10,212989,32392,4673
E02_bulk2single_synthesis,deepseek_omicverse,deepseek-v4-flash,0,11,151373,20864,5307
G01_16s_diversity,deepseek_omicverse,deepseek-v4-pro,2,19,434640,34621,4976
B02_subset_recluster,deepseek_omicverse,deepseek-v4-pro,2,5,24217,6388,2051
C01_visium_spatial_domain,deepseek_omicverse,deepseek-v4-pro,0,27,811286,62123,10685
B08_aucell_pathway_scoring,deepseek_omicverse,deepseek-v4-pro,0,9,98633,22178,5123
A05_leiden_clustering,deepseek_omicverse,deepseek-v4-pro,1,8,50810,9737,4384
B04_multi_method_batch_correction,deepseek_omicverse,deepseek-v4-pro,2,23,454412,31938,11142
G01_16s_diversity,deepseek_omicverse,deepseek-v4-pro,1,15,319916,33612,4930
C04_spatial_trajectory_stt,deepseek_omicverse,deepseek-v4-flash,0,29,663513,39941,11946
E06_pathway_enrichment,deepseek_omicverse,deepseek-v4-flash,1,21,1275949,152188,9572
G04_16s_taxonomic_collapse,deepseek_omicverse,deepseek-v4-pro,1,6,38645,9923,4014
C01_visium_spatial_domain,deepseek_omicverse,deepseek-v4-flash,2,28,938973,64833,15395
G01_16s_diversity,deepseek_omicverse,deepseek-v4-pro,0,10,100100,17325,3885
B11_scrna_cell_cell_communication,deepseek_omicverse,deepseek-v4-pro,1,14,3787793,472231,6701
B06_reference_annotation,deepseek_omicverse,deepseek-v4-flash,0,10,180233,26494,6367
A02_normalize_log,deepseek_omicverse,deepseek-v4-pro,0,3,11834,4629,1096
B10_gene_regulatory_network,deepseek_omicverse,deepseek-v4-pro,2,22,885006,89652,6841
E01_bulk_deconvolution,deepseek_omicverse,deepseek-v4-flash,1,14,255951,43574,6008
B02_subset_recluster,deepseek_omicverse,deepseek-v4-flash,2,4,17339,5187,1163
G02_multi_method_da,deepseek_omicverse,deepseek-v4-flash,1,12,102305,14087,3716
F03_paga_pseudotime,deepseek_omicverse,deepseek-v4-flash,1,24,622521,36989,11319
G05_phylogenetic_diversity,deepseek_omicverse,deepseek-v4-pro,0,18,393464,34175,9690
C05_spatial_celltype_deconvolution,deepseek_omicverse,deepseek-v4-flash,2,17,260507,24185,7071
A03_hvg,deepseek_omicverse,deepseek-v4-pro,2,5,40452,10833,1523
B08_aucell_pathway_scoring,deepseek_omicverse,deepseek-v4-flash,2,9,137837,25127,4310
A01_qc_filter,deepseek_omicverse,deepseek-v4-pro,2,12,273364,34121,8022
A02_normalize_log,deepseek_omicverse,deepseek-v4-pro,2,3,11730,4441,839
A05_leiden_clustering,deepseek_omicverse,deepseek-v4-pro,2,10,716519,139380,4490
L02_foundation_model_celltype_annotation,deepseek_omicverse,deepseek-v4-flash,0,40,684358,40353,9925
A04_pca_neighbors_umap,deepseek_omicverse,deepseek-v4-flash,1,7,55989,11668,2534
F01_multi_mode_velocity,deepseek_omicverse,deepseek-v4-pro,2,32,654539,34320,13605
B02_subset_recluster,deepseek_omicverse,deepseek-v4-flash,1,4,16921,5027,954
B03_diff_expression,deepseek_omicverse,deepseek-v4-pro,2,14,371371,53508,6284
G02_multi_method_da,deepseek_omicverse,deepseek-v4-pro,1,16,261804,27755,6597
B02_subset_recluster,deepseek_omicverse,deepseek-v4-pro,0,5,24996,6550,1977
F02_multi_method_trajectory,deepseek_omicverse,deepseek-v4-pro,2,15,249519,23500,7207
B07_gpt_celltype_annotation,deepseek_omicverse,deepseek-v4-flash,0,18,207053,20448,6346
C02_visium_hd_svg,deepseek_omicverse,deepseek-v4-pro,1,36,921278,41891,16024
L01_foundation_model_cell_embedding,deepseek_omicverse,deepseek-v4-flash,2,48,1502522,55584,14404
B10_gene_regulatory_network,deepseek_omicverse,deepseek-v4-pro,1,26,1112671,107435,11279
E03_bulk_de_multi_method,deepseek_omicverse,deepseek-v4-flash,1,10,168704,25131,6461
B11_scrna_cell_cell_communication,deepseek_omicverse,deepseek-v4-flash,0,13,201708,22388,3937
G03_16s_ordination_pcoa,deepseek_omicverse,deepseek-v4-pro,0,9,99828,18920,4931
E01_bulk_deconvolution,deepseek_omicverse,deepseek-v4-flash,0,14,181397,26041,4242
L01_foundation_model_cell_embedding,deepseek_omicverse,deepseek-v4-flash,1,23,482242,46696,6077
E03_bulk_de_multi_method,deepseek_omicverse,deepseek-v4-pro,1,19,275559,24760,10406
E07_ppi_network,deepseek_omicverse,deepseek-v4-pro,0,16,229306,22352,6704
A01_qc_filter,deepseek_omicverse,deepseek-v4-pro,0,20,479668,40866,14335
B04_multi_method_batch_correction,deepseek_omicverse,deepseek-v4-flash,0,13,185844,20423,5162
A03_hvg,deepseek_omicverse,deepseek-v4-flash,2,5,50721,15157,1351
B10_gene_regulatory_network,deepseek_omicverse,deepseek-v4-flash,0,39,2609463,190538,17380
G04_16s_taxonomic_collapse,deepseek_omicverse,deepseek-v4-flash,0,6,46747,11867,4624
G01_16s_diversity,deepseek_omicverse,deepseek-v4-flash,1,8,83245,20830,3086
B01_full_pipeline,deepseek_omicverse,deepseek-v4-pro,1,14,962122,126245,13156
C05_spatial_celltype_deconvolution,deepseek_omicverse,deepseek-v4-pro,2,17,316921,25640,5769
G02_multi_method_da,deepseek_omicverse,deepseek-v4-flash,0,13,273537,31592,5559
A03_hvg,deepseek_omicverse,deepseek-v4-flash,1,5,24275,6362,1448
A02_normalize_log,deepseek_omicverse,deepseek-v4-pro,1,4,33621,10664,1069
E03_bulk_de_multi_method,deepseek_omicverse,deepseek-v4-flash,2,13,281574,34999,8096
B11_scrna_cell_cell_communication,deepseek_omicverse,deepseek-v4-pro,0,16,4690902,469626,8991
B11_scrna_cell_cell_communication,deepseek_omicverse,deepseek-v4-pro,2,15,4290555,479448,6948
B09_cnmf_gene_programs,deepseek_omicverse,deepseek-v4-flash,2,12,254116,31919,5760
E04_bulk_wgcna,deepseek_omicverse,deepseek-v4-pro,1,32,920723,61697,17967
F04_multi_backend_pseudotime,deepseek_omicverse,deepseek-v4-pro,0,12,157433,20596,4985
B06_reference_annotation,deepseek_omicverse,deepseek-v4-flash,2,9,134748,22169,4896
G03_16s_ordination_pcoa,deepseek_omicverse,deepseek-v4-flash,1,11,115558,17336,5053
G04_16s_taxonomic_collapse,deepseek_omicverse,deepseek-v4-pro,0,4,22459,7777,2561
B08_aucell_pathway_scoring,deepseek_omicverse,deepseek-v4-flash,0,9,123480,25172,6346
B11_scrna_cell_cell_communication,deepseek_omicverse,deepseek-v4-flash,2,29,8316098,493497,19908
B06_reference_annotation,deepseek_omicverse,deepseek-v4-pro,2,22,704412,53196,12398
E07_ppi_network,deepseek_omicverse,deepseek-v4-flash,2,12,208902,26819,5147
B01_full_pipeline,deepseek_omicverse,deepseek-v4-flash,1,22,462068,33499,11100
B09_cnmf_gene_programs,deepseek_omicverse,deepseek-v4-flash,1,13,189153,22216,7830
L03_foundation_model_zero_shot_inference,deepseek_omicverse,deepseek-v4-pro,1,29,1045358,64158,17415
L04_foundation_model_perturbation_response,deepseek_omicverse,deepseek-v4-flash,0,56,1609540,62618,20137
G03_16s_ordination_pcoa,deepseek_omicverse,deepseek-v4-flash,0,9,155566,28491,6186
B06_reference_annotation,deepseek_omicverse,deepseek-v4-pro,1,20,771882,64168,11991
G04_16s_taxonomic_collapse,deepseek_omicverse,deepseek-v4-pro,2,6,40562,10518,3882
F04_multi_backend_pseudotime,deepseek_omicverse,deepseek-v4-flash,1,10,142125,22703,4169
C04_spatial_trajectory_stt,deepseek_omicverse,deepseek-v4-flash,1,13,109473,15174,5865
G02_multi_method_da,deepseek_omicverse,deepseek-v4-pro,0,22,284633,20598,6001
B06_reference_annotation,deepseek_omicverse,deepseek-v4-flash,1,13,365153,42714,8106
B10_gene_regulatory_network,deepseek_omicverse,deepseek-v4-flash,1,22,3031924,323695,10536
F01_multi_mode_velocity,deepseek_omicverse,deepseek-v4-flash,0,10,147861,22568,6663
E04_bulk_wgcna,deepseek_omicverse,deepseek-v4-pro,0,33,776932,45586,17666
G01_16s_diversity,deepseek_omicverse,deepseek-v4-flash,0,5,30737,9067,4008
F02_multi_method_trajectory,deepseek_omicverse,deepseek-v4-flash,1,16,184666,19057,4747
B02_subset_recluster,deepseek_omicverse,deepseek-v4-flash,0,3,11873,4537,892
L04_foundation_model_perturbation_response,deepseek_omicverse,deepseek-v4-flash,1,50,3029776,480316,16214
F04_multi_backend_pseudotime,deepseek_omicverse,deepseek-v4-pro,1,16,274444,28344,6199
C04_spatial_trajectory_stt,deepseek_omicverse,deepseek-v4-flash,2,8,51459,10644,3033
A03_hvg,deepseek_omicverse,deepseek-v4-pro,1,7,56879,12275,2211
L01_foundation_model_cell_embedding,deepseek_omicverse,deepseek-v4-flash,0,29,699294,43967,6111
A01_qc_filter,deepseek_omicverse,deepseek-v4-flash,0,8,198321,41324,5346
F04_multi_backend_pseudotime,deepseek_omicverse,deepseek-v4-pro,2,23,432646,34083,11892
E03_bulk_de_multi_method,deepseek_omicverse,deepseek-v4-flash,0,16,198234,22809,7978
F03_paga_pseudotime,deepseek_omicverse,deepseek-v4-pro,2,16,315864,31616,7352
F03_paga_pseudotime,deepseek_omicverse,deepseek-v4-pro,0,13,445375,50659,8156
F01_multi_mode_velocity,deepseek_omicverse,deepseek-v4-pro,1,32,922614,43905,20186
E07_ppi_network,deepseek_omicverse,deepseek-v4-flash,0,18,410707,39487,9019
B04_multi_method_batch_correction,deepseek_omicverse,deepseek-v4-pro,0,13,169064,19039,5726
B05_multi_method_annotation,deepseek_omicverse,deepseek-v4-flash,1,19,469566,40670,8156
B05_multi_method_annotation,deepseek_omicverse,deepseek-v4-pro,2,17,393191,38180,7005
E01_bulk_deconvolution,deepseek_omicverse,deepseek-v4-pro,1,15,1097667,169253,5482
L01_foundation_model_cell_embedding,deepseek_omicverse,deepseek-v4-pro,2,28,530190,30497,6341
C05_spatial_celltype_deconvolution,deepseek_omicverse,deepseek-v4-pro,1,12,261014,31919,4853
E04_bulk_wgcna,deepseek_omicverse,deepseek-v4-flash,0,21,783834,72346,28015
B04_multi_method_batch_correction,deepseek_omicverse,deepseek-v4-flash,1,10,120597,17656,4344
G05_phylogenetic_diversity,deepseek_omicverse,deepseek-v4-pro,1,24,863983,51060,7294
B09_cnmf_gene_programs,deepseek_omicverse,deepseek-v4-pro,0,17,278987,28143,13429
B09_cnmf_gene_programs,deepseek_omicverse,deepseek-v4-flash,0,13,169522,21113,8904
G05_phylogenetic_diversity,deepseek_omicverse,deepseek-v4-pro,2,38,1011223,55121,13329
L02_foundation_model_celltype_annotation,deepseek_omicverse,deepseek-v4-flash,1,50,1152997,44913,15867
A02_normalize_log,deepseek_omicverse,deepseek-v4-flash,2,6,27728,5965,2102
B05_multi_method_annotation,deepseek_omicverse,deepseek-v4-flash,2,15,321828,34298,5635
C01_visium_spatial_domain,deepseek_omicverse,deepseek-v4-flash,1,50,2082160,75781,40267
A04_pca_neighbors_umap,deepseek_omicverse,deepseek-v4-pro,0,4,16709,4839,1012
A04_pca_neighbors_umap,deepseek_omicverse,deepseek-v4-pro,1,7,144002,25279,3359
E05_bulk_metabol_multivariate,deepseek_omicverse,deepseek-v4-pro,0,19,381042,35044,6016
L03_foundation_model_zero_shot_inference,deepseek_omicverse,deepseek-v4-pro,0,29,4464978,205991,15201
B05_multi_method_annotation,deepseek_omicverse,deepseek-v4-flash,0,16,419339,49858,8890
F03_paga_pseudotime,deepseek_omicverse,deepseek-v4-flash,2,22,281122,21499,11477
B03_diff_expression,deepseek_omicverse,deepseek-v4-flash,1,19,534229,41286,9392
G04_16s_taxonomic_collapse,deepseek_omicverse,deepseek-v4-flash,2,7,41038,8383,3276
C05_spatial_celltype_deconvolution,deepseek_omicverse,deepseek-v4-flash,1,20,370252,29890,6349
A04_pca_neighbors_umap,deepseek_omicverse,deepseek-v4-flash,0,4,16702,4807,1185
B09_cnmf_gene_programs,deepseek_omicverse,deepseek-v4-pro,1,13,185702,25195,13590
F02_multi_method_trajectory,deepseek_omicverse,deepseek-v4-pro,1,9,97202,17350,4662
E06_pathway_enrichment,deepseek_omicverse,deepseek-v4-flash,0,10,168247,27592,4909
A01_qc_filter,deepseek_omicverse,deepseek-v4-flash,1,15,121770,13988,7635
A01_qc_filter,deepseek_omicverse,deepseek-v4-flash,2,14,444842,43225,8513
B03_diff_expression,deepseek_omicverse,deepseek-v4-pro,1,21,493837,33511,7534
L02_foundation_model_celltype_annotation,deepseek_omicverse,deepseek-v4-pro,0,26,586120,46632,8148
C02_visium_hd_svg,deepseek_omicverse,deepseek-v4-flash,1,15,342383,48133,7526
C02_visium_hd_svg,deepseek_omicverse,deepseek-v4-pro,2,22,641210,49818,12570
F02_multi_method_trajectory,deepseek_omicverse,deepseek-v4-pro,0,14,199231,21528,7575
F01_multi_mode_velocity,deepseek_omicverse,deepseek-v4-flash,1,16,220652,19404,6724
B08_aucell_pathway_scoring,deepseek_omicverse,deepseek-v4-flash,1,11,187466,30620,6011
C01_visium_spatial_domain,deepseek_omicverse,deepseek-v4-flash,0,21,1000036,155317,8054
E07_ppi_network,deepseek_omicverse,deepseek-v4-pro,2,13,219217,24732,6227
