check_key,dimension
alpha_group_test,quantitative_quality
alpha_present,object_plumbing
ari_vs_celltype,quantitative_quality
ari_vs_ground_truth,quantitative_quality
asv_shannon,quantitative_quality
batch_obs,object_plumbing
batch_separation_reduced,quantitative_quality
beta_dist_present,object_plumbing
beta_permanova,quantitative_quality
beta_present,object_plumbing
branch_detection,biological_plausibility
ccc_directional_columns,object_plumbing
ccc_nonempty,object_plumbing
ccc_real_call,tool_grounding
ccc_reference_lr_hit,biological_plausibility
ccc_table,object_plumbing
ccc_uns,object_plumbing
cd4_cd8_split,biological_plausibility
cells_after_full_qc,quantitative_quality
cells_after_qc,quantitative_quality
celltype_obs,object_plumbing
celltype_silhouette_fm,quantitative_quality
celltype_structure_preserved,biological_plausibility
cluster_count,quantitative_quality
clusters_obs,object_plumbing
cnmf_obsm,object_plumbing
cnmf_programs_uns,object_plumbing
cnmf_real_call,tool_grounding
composition_matches_reference,biological_plausibility
counts_int,data_integrity
counts_layer,data_integrity
deconv_real_call,tool_grounding
domain_unique_count,quantitative_quality
dominant_program,biological_plausibility
embedding_dim_at_least,quantitative_quality
enrichment_table,object_plumbing
faith_pd_obs,object_plumbing
fine_tune_evidence,tool_grounding
fm_embedding_obsm,object_plumbing
fm_inference_artifact,object_plumbing
fm_inference_summary,object_plumbing
fm_real_call,tool_grounding
fractions_present,object_plumbing
genes_filtered,quantitative_quality
genus_shannon,quantitative_quality
genus_table,object_plumbing
gpt_label_present,object_plumbing
ground_truth_loaded,object_plumbing
group_obs,object_plumbing
group_separation,quantitative_quality
hub_summary,object_plumbing
hvg,object_plumbing
hvg_count,quantitative_quality
hvg_includes_canonical_markers,biological_plausibility
hvg_present,object_plumbing
kbet_lisi_quantitative,quantitative_quality
label_unique_count,quantitative_quality
leiden_present,object_plumbing
marker_table,object_plumbing
metacell_obs,object_plumbing
metacell_uns,object_plumbing
min_cells_generated,tool_grounding
modes_directionally_agree,methodological_robustness
module_assignment,object_plumbing
module_trait_table,object_plumbing
mt_obs,object_plumbing
mt_values_sane,data_integrity
multi_annotation,methodological_robustness
multi_doublet_methods,methodological_robustness
multi_method_agreement,methodological_robustness
multi_method_da_results,methodological_robustness
multi_method_de_consistency,methodological_robustness
multi_resolution_stability,methodological_robustness
multivariate_obsm,object_plumbing
n_domains,quantitative_quality
n_modules,quantitative_quality
n_programs,quantitative_quality
n_regulons,quantitative_quality
neighbors,object_plumbing
neighbors_on_fm,object_plumbing
only_t_cells,biological_plausibility
paga,object_plumbing
paga_connectivities,object_plumbing
pca,object_plumbing
pcoa_obsm,object_plumbing
pcoa_variance,quantitative_quality
per_cell_sum,data_integrity
perturb_layer,data_integrity
perturb_response_obs,object_plumbing
perturb_uns,object_plumbing
perturbation_real_call,tool_grounding
phylum_table,object_plumbing
ppi_real_call,tool_grounding
ppi_table,object_plumbing
predicted_coverage,quantitative_quality
predicted_obs,object_plumbing
pseudotime_anchored_at_root,biological_plausibility
pseudotime_methods_agree,methodological_robustness
pseudotime_obs,object_plumbing
rank_present,quantitative_quality
rank_substructure,quantitative_quality
ref_celltype_present,object_plumbing
regulon_obsm,object_plumbing
regulon_uns,object_plumbing
resolution_chosen,object_plumbing
resolution_recorded,object_plumbing
ribo_obs,object_plumbing
score_columns_regex,object_plumbing
score_count_matching,object_plumbing
shannon_ordering,quantitative_quality
spatial_domain,object_plumbing
spatial_domain_obs,object_plumbing
spatial_obsm,object_plumbing
spatial_silhouette,quantitative_quality
stt_real_call,tool_grounding
subcluster_count,quantitative_quality
subset_size,quantitative_quality
supervised_separation,quantitative_quality
svg_count,quantitative_quality
svg_marker,biological_plausibility
synthetic_recovers_celltypes,biological_plausibility
tb_celltype_specificity,biological_plausibility
top_genera,object_plumbing
top_markers_canonical_per_cluster,biological_plausibility
transition_uns,object_plumbing
tree_newick,object_plumbing
tsubcluster_present,object_plumbing
two_distinct_groups,methodological_robustness
two_distinct_methods,methodological_robustness
two_pseudotime_obs,methodological_robustness
umap,object_plumbing
umap_preserves_celltype,biological_plausibility
umap_shape,data_integrity
unifrac_distance,quantitative_quality
unifrac_test,quantitative_quality
velocity_flows_from_root,biological_plausibility
velocity_layer,data_integrity
velocity_umap_obsm,object_plumbing
wgcna_real_call,tool_grounding
x_is_normalized,data_integrity
