task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
A01_qc_filter,A,medium,gpt_omicverse_no_registry,gpt-5.5,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 3 doublet methods; pairwise spearman: [('doublet_score', 'scrublet_doublet_score', 1.0), ('doublet_score', 'synthetic_knn_doublet_score', 0.5646306526321585), ('scrublet_doublet_score', 'synthetic_knn_doublet_score', 0.5646306526321585)]",4,441.8969130516052,,2026-04-28T09:15:49.228105Z,trajectories/ablation_gpt_no_registry/A01_qc_filter__gpt_omicverse_no_registry__gpt_5_5__seed0.json
A02_normalize_log,A,easy,gpt_omicverse_no_registry,gpt-5.5,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,2,36.16517996788025,,2026-04-28T09:16:25.975400Z,trajectories/ablation_gpt_no_registry/A02_normalize_log__gpt_omicverse_no_registry__gpt_5_5__seed0.json
A03_hvg,A,easy,gpt_omicverse_no_registry,gpt-5.5,0,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",2,50.6181378364563,,2026-04-28T09:17:17.601137Z,trajectories/ablation_gpt_no_registry/A03_hvg__gpt_omicverse_no_registry__gpt_5_5__seed0.json
A04_pca_neighbors_umap,A,medium,gpt_omicverse_no_registry,gpt-5.5,0,True,1.0,none,"{""pca"": true, ""neighbors"": true, ""umap"": true, ""umap_shape"": true, ""umap_preserves_celltype"": true}",umap_preserves_celltype: silhouette(X_umap | cell_type) = 0.457,4,194.04517078399658,,2026-04-28T09:20:33.486081Z,trajectories/ablation_gpt_no_registry/A04_pca_neighbors_umap__gpt_omicverse_no_registry__gpt_5_5__seed0.json
A05_leiden_clustering,A,hard,gpt_omicverse_no_registry,gpt-5.5,0,True,1.0,none,"{""leiden_present"": true, ""cluster_count"": true, ""resolution_recorded"": true, ""multi_resolution_stability"": true, ""ari_vs_celltype"": true}",multi_resolution_stability: 8 resolutions; mean ARI = 0.591 | ari_vs_celltype: ARI=0.924,2,79.359370470047,,2026-04-28T09:21:53.590459Z,trajectories/ablation_gpt_no_registry/A05_leiden_clustering__gpt_omicverse_no_registry__gpt_5_5__seed0.json
B01_full_pipeline,B,hard,gpt_omicverse_no_registry,gpt-5.5,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""leiden_present"": true, ""counts_layer"": true, ""hvg"": true, ""pca"": true, ""umap"": true, ""cluster_count"": true, ""cells_after_full_qc"": true, ""resolution_chosen"": true, ""ari_vs_celltype"": true}",ari_vs_celltype: ARI=0.428,6,2196.6877706050873,,2026-04-28T09:58:30.981644Z,trajectories/ablation_gpt_no_registry/B01_full_pipeline__gpt_omicverse_no_registry__gpt_5_5__seed0.json
B02_subset_recluster,B,hard,gpt_omicverse_no_registry,gpt-5.5,0,True,1.0,none,"{""subset_size"": true, ""only_t_cells"": true, ""tsubcluster_present"": true, ""subcluster_count"": true, ""cd4_cd8_split"": true}","cd4_cd8_split: CD4-dominant: ['0', '1', '3', '4']; CD8A-dominant: ['2', '5']",3,82.05359315872192,,2026-04-28T09:59:53.486115Z,trajectories/ablation_gpt_no_registry/B02_subset_recluster__gpt_omicverse_no_registry__gpt_5_5__seed0.json
B03_diff_expression,B,hard,gpt_omicverse_no_registry,gpt-5.5,0,True,1.0,none,"{""rank_present"": true, ""rank_substructure"": true, ""multi_method_de_consistency"": true, ""top_markers_canonical_per_cluster"": true}","multi_method_de_consistency: 3 DE methods; mean Jaccard = 0.621 | top_markers_canonical_per_cluster: 6 clusters hit canonical markers: [('1', 'CD14-positive monocyte', ['LYZ', 'S100A8', 'S100A9']), ('12', 'B cell', ['CD79A', 'CD79B', 'MS4A1']), ('2', 'CD4-positive, alpha-beta T cell', ['CD3E']), ('3', 'CD14-positive monocyte', ['LYZ', 'S100A8', 'S100A9']), ('5', 'cytotoxic T cell', ['CD3D', 'CD3E'])]",3,131.68873476982117,,2026-04-28T10:02:05.828653Z,trajectories/ablation_gpt_no_registry/B03_diff_expression__gpt_omicverse_no_registry__gpt_5_5__seed0.json
B04_multi_method_batch_correction,B,hard,gpt_omicverse_no_registry,gpt-5.5,0,True,1.0,none,"{""batch_obs"": true, ""batch_separation_reduced"": true, ""celltype_structure_preserved"": true, ""kbet_lisi_quantitative"": true}","batch_separation_reduced: max silhouette drop=+0.029 (base=0.008); per-key [('X_combat', 0.009186540963128209), ('X_mde_combat', -0.029976096004247665), ('X_mde_harmony', 0.010407015681266785), ('X_mde_scVI', -0.005713801831007004), ('X_mde_scanorama', -0.0025749364867806435), ('X_pca_harmony', 0.005005192011594772), ('X_scVI', 0.007734006496320944), ('X_scanorama', -0.016282718675502707), ('corrected', 0.029151178435234175)] | celltype_structure_preserved: best ASW(cell_type)=0.145 ≥ 50%×0.125 | kbet_lisi_quantitative: max kNN-batch-mixing score = 0.823; per-key [('X_combat', 0.22485714285714284), ('X_mde_combat', 0.19424999999999998), ('X_mde_harmony', 0.7100714285714286), ('X_mde_scVI', 0.6897857142857142), ('X_mde_scanorama', 0.5753214285714284), ('X_pca_harmony', 0.6852142857142857), ('X_scVI', 0.6592499999999999), ('X_scanorama', 0.49742857142857144), ('corrected', 0.8226785714285713)]",3,241.8386721611023,,2026-04-28T10:06:13.333268Z,trajectories/ablation_gpt_no_registry/B04_multi_method_batch_correction__gpt_omicverse_no_registry__gpt_5_5__seed0.json
B05_multi_method_annotation,B,hard,gpt_omicverse_no_registry,gpt-5.5,0,False,0.0,wrong_workflow_order,"{""multi_annotation"": false}","multi_annotation: mean family-level pairwise agreement = 0.333 < 0.6 (cols=['cell_type_marker', 'annotation_marker_score', 'annotation_marker_margin'], pairwise=[1.0, 0.0, 0.0])",3,144.08878588676453,,2026-04-28T10:08:38.228465Z,trajectories/ablation_gpt_no_registry/B05_multi_method_annotation__gpt_omicverse_no_registry__gpt_5_5__seed0.json
B06_reference_annotation,B,medium,gpt_omicverse_no_registry,gpt-5.5,0,True,1.0,none,"{""predicted_obs"": true, ""ref_celltype_present"": true, ""predicted_coverage"": true}",,2,270.0526170730591,,2026-04-28T10:13:10.543286Z,trajectories/ablation_gpt_no_registry/B06_reference_annotation__gpt_omicverse_no_registry__gpt_5_5__seed0.json
