task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
A01_qc_filter,A,medium,deepseek_omicverse_doc_rag,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('doublet_score_scrublet', 'doublet_score_doubletdetection', 0.3022666275638421)]",19,1064.9811463356018,,2026-04-28T11:32:04.423769Z,trajectories/ablation_v4flash_doc_rag/A01_qc_filter__deepseek_omicverse_doc_rag__deepseek_v4_flash__seed0.json
A02_normalize_log,A,easy,deepseek_omicverse_doc_rag,deepseek-v4-flash,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,2,35.516072034835815,,2026-04-28T11:32:40.458433Z,trajectories/ablation_v4flash_doc_rag/A02_normalize_log__deepseek_omicverse_doc_rag__deepseek_v4_flash__seed0.json
A03_hvg,A,easy,deepseek_omicverse_doc_rag,deepseek-v4-flash,0,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",4,35.77817416191101,,2026-04-28T11:33:16.927865Z,trajectories/ablation_v4flash_doc_rag/A03_hvg__deepseek_omicverse_doc_rag__deepseek_v4_flash__seed0.json
A04_pca_neighbors_umap,A,medium,deepseek_omicverse_doc_rag,deepseek-v4-flash,0,True,1.0,none,"{""pca"": true, ""neighbors"": true, ""umap"": true, ""umap_shape"": true, ""umap_preserves_celltype"": true}",umap_preserves_celltype: silhouette(X_umap | cell_type) = 0.457,3,155.74544429779053,,2026-04-28T11:35:53.523063Z,trajectories/ablation_v4flash_doc_rag/A04_pca_neighbors_umap__deepseek_omicverse_doc_rag__deepseek_v4_flash__seed0.json
A05_leiden_clustering,A,hard,deepseek_omicverse_doc_rag,deepseek-v4-flash,0,True,1.0,none,"{""leiden_present"": true, ""cluster_count"": true, ""resolution_recorded"": true, ""multi_resolution_stability"": true, ""ari_vs_celltype"": true}",multi_resolution_stability: 7 resolutions; mean ARI = 0.623 | ari_vs_celltype: ARI=0.924,5,92.68291807174683,,2026-04-28T11:37:30.853253Z,trajectories/ablation_v4flash_doc_rag/A05_leiden_clustering__deepseek_omicverse_doc_rag__deepseek_v4_flash__seed0.json
B01_full_pipeline,B,hard,deepseek_omicverse_doc_rag,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""leiden_present"": true, ""counts_layer"": true, ""hvg"": true, ""pca"": true, ""umap"": true, ""cluster_count"": true, ""cells_after_full_qc"": true, ""resolution_chosen"": true, ""ari_vs_celltype"": true}",ari_vs_celltype: ARI=0.330,14,1391.0507328510284,,2026-04-28T12:00:42.629992Z,trajectories/ablation_v4flash_doc_rag/B01_full_pipeline__deepseek_omicverse_doc_rag__deepseek_v4_flash__seed0.json
B02_subset_recluster,B,hard,deepseek_omicverse_doc_rag,deepseek-v4-flash,0,True,1.0,none,"{""subset_size"": true, ""only_t_cells"": true, ""tsubcluster_present"": true, ""subcluster_count"": true, ""cd4_cd8_split"": true}","cd4_cd8_split: CD4-dominant: ['0', '1', '2', '4']; CD8A-dominant: ['3', '5']",3,51.15136241912842,,2026-04-28T12:01:35.347797Z,trajectories/ablation_v4flash_doc_rag/B02_subset_recluster__deepseek_omicverse_doc_rag__deepseek_v4_flash__seed0.json
B03_diff_expression,B,hard,deepseek_omicverse_doc_rag,deepseek-v4-flash,0,True,1.0,none,"{""rank_present"": true, ""rank_substructure"": true, ""multi_method_de_consistency"": true, ""top_markers_canonical_per_cluster"": true}","multi_method_de_consistency: 5 DE methods; mean Jaccard = 0.469 | top_markers_canonical_per_cluster: 6 clusters hit canonical markers: [('1', 'CD14-positive monocyte', ['CD14', 'LYZ', 'S100A8', 'S100A9']), ('12', 'B cell', ['CD19', 'CD79A', 'MS4A1']), ('2', 'CD4-positive, alpha-beta T cell', ['CD3D', 'CD3E', 'IL7R']), ('3', 'CD14-positive monocyte', ['S100A8', 'S100A9']), ('5', 'cytotoxic T cell', ['CD3D', 'CD3E'])]",20,518.9512317180634,,2026-04-28T12:10:15.040466Z,trajectories/ablation_v4flash_doc_rag/B03_diff_expression__deepseek_omicverse_doc_rag__deepseek_v4_flash__seed0.json
B04_multi_method_batch_correction,B,hard,deepseek_omicverse_doc_rag,deepseek-v4-flash,0,True,1.0,none,"{""batch_obs"": true, ""batch_separation_reduced"": true, ""celltype_structure_preserved"": true, ""kbet_lisi_quantitative"": true}","batch_separation_reduced: max silhouette drop=+0.029 (base=0.008); per-key [('X_combat', 0.009186540963128209), ('X_harmony', 0.004982557613402605), ('X_mde_combat', -0.029976096004247665), ('X_mde_harmony', 0.010407015681266785), ('X_mde_scVI', -0.005713801831007004), ('X_mde_scanorama', -0.0025749364867806435), ('X_pca_harmony', 0.004982557613402605), ('X_scVI', 0.007734006496320944), ('X_scanorama', -0.0162743122460698), ('corrected', 0.029151178435234175)] | celltype_structure_preserved: best ASW(cell_type)=0.146 ≥ 50%×0.125 | kbet_lisi_quantitative: max kNN-batch-mixing score = 0.823; per-key [('X_combat', 0.22485714285714284), ('X_harmony', 0.6852857142857142), ('X_mde_combat', 0.19424999999999998), ('X_mde_harmony', 0.7100714285714286), ('X_mde_scVI', 0.6897857142857142), ('X_mde_scanorama', 0.5753214285714284), ('X_pca_harmony', 0.6852857142857142), ('X_scVI', 0.6592499999999999), ('X_scanorama', 0.4976071428571428), ('corrected', 0.8226785714285713)]",13,918.7510890960693,,2026-04-28T12:25:40.467834Z,trajectories/ablation_v4flash_doc_rag/B04_multi_method_batch_correction__deepseek_omicverse_doc_rag__deepseek_v4_flash__seed0.json
B05_multi_method_annotation,B,hard,deepseek_omicverse_doc_rag,deepseek-v4-flash,0,True,1.0,none,"{""multi_annotation"": true}",multi_annotation: 2 annotation methods; family-level agreement = 0.820 (pairwise=[0.82]),28,498.4649670124054,,2026-04-28T12:33:59.513329Z,trajectories/ablation_v4flash_doc_rag/B05_multi_method_annotation__deepseek_omicverse_doc_rag__deepseek_v4_flash__seed0.json
