task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
A01_qc_filter,A,medium,deepseek_omicverse_no_registry,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('scrublet_doublet_score', 'doubletdetection_doublet_score', 0.1276978724407702)]",20,1244.7992911338806,,2026-04-28T09:29:17.319397Z,trajectories/ablation_v4flash_no_registry/A01_qc_filter__deepseek_omicverse_no_registry__deepseek_v4_flash__seed0.json
A02_normalize_log,A,easy,deepseek_omicverse_no_registry,deepseek-v4-flash,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,6,60.38671278953552,,2026-04-28T09:30:18.148241Z,trajectories/ablation_v4flash_no_registry/A02_normalize_log__deepseek_omicverse_no_registry__deepseek_v4_flash__seed0.json
A03_hvg,A,easy,deepseek_omicverse_no_registry,deepseek-v4-flash,0,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",3,35.735642433166504,,2026-04-28T09:30:54.956785Z,trajectories/ablation_v4flash_no_registry/A03_hvg__deepseek_omicverse_no_registry__deepseek_v4_flash__seed0.json
A04_pca_neighbors_umap,A,medium,deepseek_omicverse_no_registry,deepseek-v4-flash,0,True,1.0,none,"{""pca"": true, ""neighbors"": true, ""umap"": true, ""umap_shape"": true, ""umap_preserves_celltype"": true}",umap_preserves_celltype: silhouette(X_umap | cell_type) = 0.457,3,132.05848455429077,,2026-04-28T09:33:08.903936Z,trajectories/ablation_v4flash_no_registry/A04_pca_neighbors_umap__deepseek_omicverse_no_registry__deepseek_v4_flash__seed0.json
A05_leiden_clustering,A,hard,deepseek_omicverse_no_registry,deepseek-v4-flash,0,True,1.0,none,"{""leiden_present"": true, ""cluster_count"": true, ""resolution_recorded"": true, ""multi_resolution_stability"": true, ""ari_vs_celltype"": true}",multi_resolution_stability: 6 resolutions; mean ARI = 0.636 | ari_vs_celltype: ARI=0.899,4,79.87566685676575,,2026-04-28T09:34:32.571952Z,trajectories/ablation_v4flash_no_registry/A05_leiden_clustering__deepseek_omicverse_no_registry__deepseek_v4_flash__seed0.json
B01_full_pipeline,B,hard,deepseek_omicverse_no_registry,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""leiden_present"": true, ""counts_layer"": true, ""hvg"": true, ""pca"": true, ""umap"": true, ""cluster_count"": true, ""cells_after_full_qc"": true, ""resolution_chosen"": true, ""ari_vs_celltype"": true}",ari_vs_celltype: ARI=0.562,50,4810.117143630981,,2026-04-28T10:54:45.076313Z,trajectories/ablation_v4flash_no_registry/B01_full_pipeline__deepseek_omicverse_no_registry__deepseek_v4_flash__seed0.json
B02_subset_recluster,B,hard,deepseek_omicverse_no_registry,deepseek-v4-flash,0,True,1.0,none,"{""subset_size"": true, ""only_t_cells"": true, ""tsubcluster_present"": true, ""subcluster_count"": true, ""cd4_cd8_split"": true}","cd4_cd8_split: CD4-dominant: ['0', '1', '2', '4']; CD8A-dominant: ['3', '5']",5,55.41381072998047,,2026-04-28T10:55:41.892110Z,trajectories/ablation_v4flash_no_registry/B02_subset_recluster__deepseek_omicverse_no_registry__deepseek_v4_flash__seed0.json
B03_diff_expression,B,hard,deepseek_omicverse_no_registry,deepseek-v4-flash,0,True,1.0,none,"{""rank_present"": true, ""rank_substructure"": true, ""multi_method_de_consistency"": true, ""top_markers_canonical_per_cluster"": true}","multi_method_de_consistency: 5 DE methods; mean Jaccard = 0.518 | top_markers_canonical_per_cluster: 6 clusters hit canonical markers: [('1', 'CD14-positive monocyte', ['CD14', 'LYZ', 'S100A8', 'S100A9']), ('12', 'B cell', ['CD19', 'CD79A', 'MS4A1']), ('2', 'CD4-positive, alpha-beta T cell', ['CD3D', 'CD3E', 'IL7R']), ('3', 'CD14-positive monocyte', ['S100A8', 'S100A9']), ('5', 'cytotoxic T cell', ['CD3D', 'CD3E'])]",18,410.88849353790283,,2026-04-28T11:02:33.407289Z,trajectories/ablation_v4flash_no_registry/B03_diff_expression__deepseek_omicverse_no_registry__deepseek_v4_flash__seed0.json
B04_multi_method_batch_correction,B,hard,deepseek_omicverse_no_registry,deepseek-v4-flash,0,True,1.0,none,"{""batch_obs"": true, ""batch_separation_reduced"": true, ""celltype_structure_preserved"": true, ""kbet_lisi_quantitative"": true}","batch_separation_reduced: max silhouette drop=+0.029 (base=0.008); per-key [('X_combat', 0.009186540963128209), ('X_harmony', 0.0049802621360868216), ('X_mde_combat', -0.029976096004247665), ('X_mde_harmony', 0.010407015681266785), ('X_mde_scVI', -0.005713801831007004), ('X_mde_scanorama', -0.0025749364867806435), ('X_pca_harmony', 0.0049802621360868216), ('X_scVI', 0.007734006496320944), ('X_scanorama', -0.0162743122460698), ('corrected', 0.029151178435234175)] | celltype_structure_preserved: best ASW(cell_type)=0.146 ≥ 50%×0.125 | kbet_lisi_quantitative: max kNN-batch-mixing score = 0.823; per-key [('X_combat', 0.22485714285714284), ('X_harmony', 0.6852857142857142), ('X_mde_combat', 0.19424999999999998), ('X_mde_harmony', 0.7100714285714286), ('X_mde_scVI', 0.6897857142857142), ('X_mde_scanorama', 0.5753214285714284), ('X_pca_harmony', 0.6852857142857142), ('X_scVI', 0.6592499999999999), ('X_scanorama', 0.4976071428571428), ('corrected', 0.8226785714285713)]",10,1543.7175042629242,,2026-04-28T11:28:26.389500Z,trajectories/ablation_v4flash_no_registry/B04_multi_method_batch_correction__deepseek_omicverse_no_registry__deepseek_v4_flash__seed0.json
B05_multi_method_annotation,B,hard,deepseek_omicverse_no_registry,deepseek-v4-flash,0,True,1.0,none,"{""multi_annotation"": true}",multi_annotation: 2 annotation methods; family-level agreement = 0.818 (pairwise=[0.818]),27,1492.09494972229,,2026-04-28T11:53:22.695598Z,trajectories/ablation_v4flash_no_registry/B05_multi_method_annotation__deepseek_omicverse_no_registry__deepseek_v4_flash__seed0.json
