task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
A01_qc_filter,A,medium,gemini_baseline,gemini-3.1-flash-lite-preview,0,False,0.8333333333333334,wrong_tool_choice,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": false}","multi_doublet_methods: doublet methods don't agree (spearman): [('scrublet_doublet_score', 'doubletdetection_doublet_score', -0.03670754575483114)]",7,445.8951926231384,,2026-04-27T12:01:27.981244Z,trajectories/gemini_full/A01_qc_filter__gemini_baseline__gemini_3_1_flash_lite_preview__seed0.json
A01_qc_filter,A,medium,gemini_baseline,gemini-3.1-flash-lite-preview,1,False,0.0,wrong_tool_choice,"{""mt_obs"": false, ""ribo_obs"": false, ""cells_after_qc"": false, ""genes_filtered"": false, ""mt_values_sane"": false, ""multi_doublet_methods"": false}","mt_obs: obs missing: ['any-of:[pct_counts_mt|mito_perc]'] | ribo_obs: obs missing: ['any-of:[pct_counts_ribo|ribo_perc|pct_ribo]'] | cells_after_qc: shape[0]=10 < min=5500 | genes_filtered: shape[1]=10 < min=12000 | mt_values_sane: value_range: no obs key in ['pct_counts_mt', 'mito_perc'] | multi_doublet_methods: only 0 doublet score columns (need ≥2): []",44,3640.8700795173645,,2026-04-28T03:49:12.833379Z,trajectories/gemini_full/A01_qc_filter__gemini_baseline__gemini_3_1_flash_lite_preview__seed1.json
A01_qc_filter,A,medium,gemini_baseline,gemini-3.1-flash-lite-preview,2,False,0.8333333333333334,wrong_tool_choice,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": false, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","cells_after_qc: shape[0]=5362 < min=5500 | multi_doublet_methods: 2 doublet methods; pairwise spearman: [('doublet_score_scrublet', 'doublet_score_nn', 0.11937564198260722)]",20,292.9743583202362,,2026-04-28T13:39:26.236474Z,trajectories/gemini_full/A01_qc_filter__gemini_baseline__gemini_3_1_flash_lite_preview__seed2.json
A01_qc_filter,A,medium,gemini_omicverse,gemini-3.1-flash-lite-preview,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('scrublet_doublet_score', 'scrublet2_doublet_score', 0.9999999999999998)]",6,39.659210205078125,,2026-04-27T11:54:02.079388Z,trajectories/gemini_full/A01_qc_filter__gemini_omicverse__gemini_3_1_flash_lite_preview__seed0.json
A01_qc_filter,A,medium,gemini_omicverse,gemini-3.1-flash-lite-preview,1,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('scrublet_doublet_score', 'scrublet2_doublet_score', 0.9999999999999998)]",10,188.16120553016663,,2026-04-28T03:52:21.255474Z,trajectories/gemini_full/A01_qc_filter__gemini_omicverse__gemini_3_1_flash_lite_preview__seed1.json
A01_qc_filter,A,medium,gemini_omicverse,gemini-3.1-flash-lite-preview,2,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 3 doublet methods; pairwise spearman: [('doublet_score', 'scrublet_doublet_score', 1.0), ('doublet_score', 'heuristic_doublet_score', 0.30502913916845215), ('scrublet_doublet_score', 'heuristic_doublet_score', 0.30502913916845215)]",7,1155.8559682369232,,2026-04-28T13:58:42.419998Z,trajectories/gemini_full/A01_qc_filter__gemini_omicverse__gemini_3_1_flash_lite_preview__seed2.json
A02_normalize_log,A,easy,gemini_baseline,gemini-3.1-flash-lite-preview,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,3,7.466649532318115,,2026-04-27T12:01:44.775284Z,trajectories/gemini_full/A02_normalize_log__gemini_baseline__gemini_3_1_flash_lite_preview__seed0.json
A02_normalize_log,A,easy,gemini_baseline,gemini-3.1-flash-lite-preview,1,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,4,13.298663139343262,,2026-04-28T03:52:34.864646Z,trajectories/gemini_full/A02_normalize_log__gemini_baseline__gemini_3_1_flash_lite_preview__seed1.json
A02_normalize_log,A,easy,gemini_baseline,gemini-3.1-flash-lite-preview,2,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,4,40.83037829399109,,2026-04-28T13:59:23.701586Z,trajectories/gemini_full/A02_normalize_log__gemini_baseline__gemini_3_1_flash_lite_preview__seed2.json
A02_normalize_log,A,easy,gemini_omicverse,gemini-3.1-flash-lite-preview,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,4,9.314166784286499,,2026-04-27T12:01:37.301037Z,trajectories/gemini_full/A02_normalize_log__gemini_omicverse__gemini_3_1_flash_lite_preview__seed0.json
