task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
A01_qc_filter,A,medium,glm_baseline,glm-5.1,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('scrublet_doublet_score', 'doubletdetection_doublet_score', 0.2912335678653871)]",13,1458.6609692573547,,2026-04-28T05:23:30.831814Z,trajectories/glm_full/A01_qc_filter__glm_baseline__glm_5_1__seed0.json
A01_qc_filter,A,medium,glm_baseline,glm-5.1,1,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('scrublet_doublet_score', 'doubletdetection_doublet_score', 0.2985791582317954)]",18,1003.658586025238,,2026-04-28T05:16:05.821091Z,trajectories/glm_full/A01_qc_filter__glm_baseline__glm_5_1__seed1.json
A01_qc_filter,A,medium,glm_baseline,glm-5.1,2,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('scrublet_doublet_score', 'doubletdetection_doublet_score', 0.41861739589150154)]",18,1554.2434117794037,,2026-04-28T14:00:35.367057Z,trajectories/glm_full/A01_qc_filter__glm_baseline__glm_5_1__seed2.json
A01_qc_filter,A,medium,glm_omicverse,glm-5.1,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('scrublet_doublet_score', 'doubletdetection_doublet_score', 0.46053359705013885)]",12,926.1865894794464,,2026-04-28T05:38:59.594953Z,trajectories/glm_full/A01_qc_filter__glm_omicverse__glm_5_1__seed0.json
A01_qc_filter,A,medium,glm_omicverse,glm-5.1,1,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 3 doublet methods; pairwise spearman: [('scrublet_doublet_score', 'scDblFinder_score', 0.50996775875), ('scrublet_doublet_score', 'scdblfinder_doublet_score', 0.50996775875), ('scDblFinder_score', 'scdblfinder_doublet_score', 1.0)]",13,1159.6298620700836,,2026-04-28T05:35:26.819330Z,trajectories/glm_full/A01_qc_filter__glm_omicverse__glm_5_1__seed1.json
A01_qc_filter,A,medium,glm_omicverse,glm-5.1,2,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('scrublet_doublet_score', 'doubletdetection_doublet_score', 0.1709370822463405)]",15,1372.6573209762573,,2026-04-28T14:23:33.447395Z,trajectories/glm_full/A01_qc_filter__glm_omicverse__glm_5_1__seed2.json
A02_normalize_log,A,easy,glm_baseline,glm-5.1,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,6,152.58085894584656,,2026-04-28T05:41:33.563177Z,trajectories/glm_full/A02_normalize_log__glm_baseline__glm_5_1__seed0.json
A02_normalize_log,A,easy,glm_baseline,glm-5.1,1,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,5,131.10768389701843,,2026-04-28T05:37:39.140654Z,trajectories/glm_full/A02_normalize_log__glm_baseline__glm_5_1__seed1.json
A02_normalize_log,A,easy,glm_baseline,glm-5.1,2,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,2,64.152170419693,,2026-04-28T14:24:41.753982Z,trajectories/glm_full/A02_normalize_log__glm_baseline__glm_5_1__seed2.json
A02_normalize_log,A,easy,glm_omicverse,glm-5.1,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,5,183.89831924438477,,2026-04-28T05:44:40.342816Z,trajectories/glm_full/A02_normalize_log__glm_omicverse__glm_5_1__seed0.json
