task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
A01_qc_filter,A,medium,minimax_baseline,MiniMax-M2.7,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('doublet_score_scrublet', 'doublet_score_doubletdetection', 0.37501654369911014)]",38,2542.3111534118652,,2026-04-28T07:13:12.207846Z,trajectories/minimax_full/A01_qc_filter__minimax_baseline__MiniMax_M2_7__seed0.json
A01_qc_filter,A,medium,minimax_baseline,MiniMax-M2.7,1,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 3 doublet methods; pairwise spearman: [('scDblFinderFinder_score', 'doublet_score_scrublet', 0.4912979865914918), ('scDblFinderFinder_score', 'doublet_score_scDblFinder', 0.9999999999999998), ('doublet_score_scrublet', 'doublet_score_scDblFinder', 0.4912979865914919)]",30,1620.924283027649,,2026-04-28T06:57:59.680453Z,trajectories/minimax_full/A01_qc_filter__minimax_baseline__MiniMax_M2_7__seed1.json
A01_qc_filter,A,medium,minimax_baseline,MiniMax-M2.7,2,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('scrublet_doublet_score', 'doubletdetection_doublet_score', 0.14886361272408644)]",50,3098.491556406021,,2026-04-28T14:26:46.910425Z,trajectories/minimax_full/A01_qc_filter__minimax_baseline__MiniMax_M2_7__seed2.json
A01_qc_filter,A,medium,minimax_omicverse,MiniMax-M2.7,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('scrublet_doublet_score', 'scDblFinder_doublet_score', 0.4672578832390772)]",28,1261.2221131324768,,2026-04-28T07:34:14.147828Z,trajectories/minimax_full/A01_qc_filter__minimax_omicverse__MiniMax_M2_7__seed0.json
A01_qc_filter,A,medium,minimax_omicverse,MiniMax-M2.7,1,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('doublet_score_scrublet', 'doublet_score_scdblfinder', 0.4945408661379556)]",23,1397.3937165737152,,2026-04-28T07:21:17.519160Z,trajectories/minimax_full/A01_qc_filter__minimax_omicverse__MiniMax_M2_7__seed1.json
A01_qc_filter,A,medium,minimax_omicverse,MiniMax-M2.7,2,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('doublet_score_scrublet', 'doublet_score_scdblfinder', 0.4713902157468841)]",31,2430.01065659523,,2026-04-28T15:07:17.259338Z,trajectories/minimax_full/A01_qc_filter__minimax_omicverse__MiniMax_M2_7__seed2.json
A02_normalize_log,A,easy,minimax_baseline,MiniMax-M2.7,0,False,0.75,wrong_tool_choice,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": false}",counts_int: check raised: AttributeError: 'memoryview' object has no attribute 'size',6,110.4887683391571,,2026-04-28T07:36:05.018802Z,trajectories/minimax_full/A02_normalize_log__minimax_baseline__MiniMax_M2_7__seed0.json
A02_normalize_log,A,easy,minimax_baseline,MiniMax-M2.7,1,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,6,77.78901195526123,,2026-04-28T07:22:35.555961Z,trajectories/minimax_full/A02_normalize_log__minimax_baseline__MiniMax_M2_7__seed1.json
A02_normalize_log,A,easy,minimax_baseline,MiniMax-M2.7,2,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,5,61.668813943862915,,2026-04-28T15:08:19.594942Z,trajectories/minimax_full/A02_normalize_log__minimax_baseline__MiniMax_M2_7__seed2.json
A02_normalize_log,A,easy,minimax_omicverse,MiniMax-M2.7,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,3,51.467100381851196,,2026-04-28T07:36:56.831057Z,trajectories/minimax_full/A02_normalize_log__minimax_omicverse__MiniMax_M2_7__seed0.json
A02_normalize_log,A,easy,minimax_omicverse,MiniMax-M2.7,1,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,4,40.97525930404663,,2026-04-28T07:23:17.071819Z,trajectories/minimax_full/A02_normalize_log__minimax_omicverse__MiniMax_M2_7__seed1.json
A02_normalize_log,A,easy,minimax_omicverse,MiniMax-M2.7,2,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,5,92.21104836463928,,2026-04-28T15:09:52.280649Z,trajectories/minimax_full/A02_normalize_log__minimax_omicverse__MiniMax_M2_7__seed2.json
A03_hvg,A,easy,minimax_baseline,MiniMax-M2.7,0,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",10,167.00034856796265,,2026-04-28T07:39:44.987252Z,trajectories/minimax_full/A03_hvg__minimax_baseline__MiniMax_M2_7__seed0.json
A03_hvg,A,easy,minimax_baseline,MiniMax-M2.7,1,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",17,226.1380274295807,,2026-04-28T07:27:06.513017Z,trajectories/minimax_full/A03_hvg__minimax_baseline__MiniMax_M2_7__seed1.json
A03_hvg,A,easy,minimax_baseline,MiniMax-M2.7,2,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",5,81.90891218185425,,2026-04-28T15:11:14.999280Z,trajectories/minimax_full/A03_hvg__minimax_baseline__MiniMax_M2_7__seed2.json
A03_hvg,A,easy,minimax_omicverse,MiniMax-M2.7,0,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",5,54.598844051361084,,2026-04-28T07:40:40.295492Z,trajectories/minimax_full/A03_hvg__minimax_omicverse__MiniMax_M2_7__seed0.json
