task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
A01_qc_filter,A,medium,mini_swe_baseline,qwen3.6:35b-a3b-256k,0,False,0.8333333333333334,exceeded_turns,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": false, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","cells_after_qc: shape[0]=1126 < min=5500 | multi_doublet_methods: 2 doublet methods; pairwise spearman: [('doublet_score_scrublet', 'doublet_score_method2', 0.1116615266451276)]",20,231.14660549163818,,2026-04-26T05:28:32.992739Z,trajectories/qwen_local_full/A01_qc_filter__mini_swe_baseline__qwen3_6_35b_a3b_256k__seed0.json
A01_qc_filter,A,medium,mini_swe_omicverse,qwen3.6:35b-a3b-256k,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('doublet_score_scrublet', 'doublet_score_doubletfinder', 0.13111172887755188)]",20,770.9606716632843,,2026-04-26T05:24:41.841746Z,trajectories/qwen_local_full/A01_qc_filter__mini_swe_omicverse__qwen3_6_35b_a3b_256k__seed0.json
A02_normalize_log,A,easy,mini_swe_baseline,qwen3.6:35b-a3b-256k,0,False,0.75,exceeded_turns,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": false}",counts_int: check raised: AttributeError: 'memoryview' object has no attribute 'size',10,93.89737224578857,,2026-04-26T05:30:33.858413Z,trajectories/qwen_local_full/A02_normalize_log__mini_swe_baseline__qwen3_6_35b_a3b_256k__seed0.json
A02_normalize_log,A,easy,mini_swe_omicverse,qwen3.6:35b-a3b-256k,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,4,24.476836919784546,,2026-04-26T05:28:59.956166Z,trajectories/qwen_local_full/A02_normalize_log__mini_swe_omicverse__qwen3_6_35b_a3b_256k__seed0.json
A03_hvg,A,easy,mini_swe_baseline,qwen3.6:35b-a3b-256k,0,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",5,41.8230562210083,,2026-04-26T05:37:21.482564Z,trajectories/qwen_local_full/A03_hvg__mini_swe_baseline__qwen3_6_35b_a3b_256k__seed0.json
A03_hvg,A,easy,mini_swe_omicverse,qwen3.6:35b-a3b-256k,0,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",4,364.39890456199646,InternalServerError: litellm.InternalServerError: InternalServerError: OpenAIException - XML syntax error on line 4: element <function> closed by </parameter>,2026-04-26T05:36:39.277404Z,trajectories/qwen_local_full/A03_hvg__mini_swe_omicverse__qwen3_6_35b_a3b_256k__seed0.json
A04_pca_neighbors_umap,A,medium,mini_swe_baseline,qwen3.6:35b-a3b-256k,0,True,1.0,none,"{""pca"": true, ""neighbors"": true, ""umap"": true, ""umap_shape"": true, ""umap_preserves_celltype"": true}",umap_preserves_celltype: silhouette(X_umap | cell_type) = 0.447,4,56.99547600746155,,2026-04-26T05:39:15.523807Z,trajectories/qwen_local_full/A04_pca_neighbors_umap__mini_swe_baseline__qwen3_6_35b_a3b_256k__seed0.json
A04_pca_neighbors_umap,A,medium,mini_swe_omicverse,qwen3.6:35b-a3b-256k,0,True,1.0,none,"{""pca"": true, ""neighbors"": true, ""umap"": true, ""umap_shape"": true, ""umap_preserves_celltype"": true}",umap_preserves_celltype: silhouette(X_umap | cell_type) = 0.447,3,55.311405420303345,,2026-04-26T05:38:18.145100Z,trajectories/qwen_local_full/A04_pca_neighbors_umap__mini_swe_omicverse__qwen3_6_35b_a3b_256k__seed0.json
A05_leiden_clustering,A,hard,mini_swe_baseline,qwen3.6:35b-a3b-256k,0,True,1.0,none,"{""leiden_present"": true, ""cluster_count"": true, ""resolution_recorded"": true, ""multi_resolution_stability"": true, ""ari_vs_celltype"": true}",multi_resolution_stability: 8 resolutions; mean ARI = 0.591 | ari_vs_celltype: ARI=0.924,6,58.48358964920044,,2026-04-26T05:44:38.458453Z,trajectories/qwen_local_full/A05_leiden_clustering__mini_swe_baseline__qwen3_6_35b_a3b_256k__seed0.json
A05_leiden_clustering,A,hard,mini_swe_omicverse,qwen3.6:35b-a3b-256k,0,True,1.0,none,"{""leiden_present"": true, ""cluster_count"": true, ""resolution_recorded"": true, ""multi_resolution_stability"": true, ""ari_vs_celltype"": true}",multi_resolution_stability: 5 resolutions; mean ARI = 0.604 | ari_vs_celltype: ARI=0.521,6,208.59787321090698,,2026-04-26T05:43:39.574848Z,trajectories/qwen_local_full/A05_leiden_clustering__mini_swe_omicverse__qwen3_6_35b_a3b_256k__seed0.json
B01_full_pipeline,B,hard,mini_swe_baseline,qwen3.6:35b-a3b-256k,0,False,0.9090909090909091,wrong_workflow_order,"{""mt_obs"": true, ""ribo_obs"": true, ""leiden_present"": true, ""counts_layer"": true, ""hvg"": true, ""pca"": true, ""umap"": true, ""cluster_count"": true, ""cells_after_full_qc"": true, ""resolution_chosen"": true, ""ari_vs_celltype"": false}",ari_vs_celltype: ARI=0.239 < 0.25,6,145.06697869300842,,2026-04-26T06:00:22.887831Z,trajectories/qwen_local_full/B01_full_pipeline__mini_swe_baseline__qwen3_6_35b_a3b_256k__seed0.json
